Filename,ProductType,Weight,HalalStatus,Date,ProductNumber,ImgNumber,Subfolder,correct_label,Changed,new_filename
CannedChicken_200-299g_Halal_20240326_01_0029.jpg,CannedChicken,200-299g,Halal,20240326,1,29,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0029_.jpg
CannedChicken_200-299g_Halal_20240326_01_0149.jpg,CannedChicken,200-299g,Halal,20240326,1,149,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0149_.jpg
CannedChicken_200-299g_Halal_20240326_01_0039.jpg,CannedChicken,200-299g,Halal,20240326,1,39,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0039_.jpg
CannedChicken_200-299g_Halal_20240326_01_0038.jpg,CannedChicken,200-299g,Halal,20240326,1,38,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0038_.jpg
CannedChicken_200-299g_Halal_20240326_01_0116.jpg,CannedChicken,200-299g,Halal,20240326,1,116,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0116_.jpg
CannedChicken_200-299g_Halal_20240326_01_0128.jpg,CannedChicken,200-299g,Halal,20240326,1,128,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0128_.jpg
CannedChicken_200-299g_Halal_20240326_01_0061.jpg,CannedChicken,200-299g,Halal,20240326,1,61,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0061_.jpg
CannedChicken_200-299g_Halal_20240326_01_0075.jpg,CannedChicken,200-299g,Halal,20240326,1,75,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0075_.jpg
CannedChicken_200-299g_Halal_20240326_01_0065.jpg,CannedChicken,200-299g,Halal,20240326,1,65,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0065_.jpg
CannedChicken_200-299g_Halal_20240326_01_0058.jpg,CannedChicken,200-299g,Halal,20240326,1,58,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0058_.jpg
CannedChicken_200-299g_Halal_20240326_01_0104.jpg,CannedChicken,200-299g,Halal,20240326,1,104,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0104_.jpg
CannedChicken_200-299g_Halal_20240326_01_0106.jpg,CannedChicken,200-299g,Halal,20240326,1,106,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0106_.jpg
CannedChicken_200-299g_Halal_20240326_01_0042.jpg,CannedChicken,200-299g,Halal,20240326,1,42,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0042_.jpg
CannedChicken_200-299g_Halal_20240326_01_0057.jpg,CannedChicken,200-299g,Halal,20240326,1,57,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0057_.jpg
CannedChicken_200-299g_Halal_20240326_01_0041.jpg,CannedChicken,200-299g,Halal,20240326,1,41,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0041_.jpg
CannedChicken_200-299g_Halal_20240326_01_0118.jpg,CannedChicken,200-299g,Halal,20240326,1,118,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0118_.jpg
CannedChicken_200-299g_Halal_20240326_01_0050.jpg,CannedChicken,200-299g,Halal,20240326,1,50,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0050_.jpg
CannedChicken_200-299g_Halal_20240326_01_0131.jpg,CannedChicken,200-299g,Halal,20240326,1,131,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0131_.jpg
CannedChicken_200-299g_Halal_20240326_01_0125.jpg,CannedChicken,200-299g,Halal,20240326,1,125,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0125_.jpg
CannedChicken_200-299g_Halal_20240326_01_0127.jpg,CannedChicken,200-299g,Halal,20240326,1,127,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0127_.jpg
CannedChicken_200-299g_Halal_20240326_01_0084.jpg,CannedChicken,200-299g,Halal,20240326,1,84,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0084_.jpg
CannedChicken_200-299g_Halal_20240326_01_0085.jpg,CannedChicken,200-299g,Halal,20240326,1,85,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0085_.jpg
CannedChicken_200-299g_Halal_20240326_01_0035.jpg,CannedChicken,200-299g,Halal,20240326,1,35,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0035_.jpg
CannedChicken_200-299g_Halal_20240326_01_0140.jpg,CannedChicken,200-299g,Halal,20240326,1,140,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0140_.jpg
CannedChicken_200-299g_Halal_20240326_01_0036.jpg,CannedChicken,200-299g,Halal,20240326,1,36,CannedChicken_200-299g_Halal,CannedChicken_200-299g_Halal,FALSE,CannedChicken_200-299g_Halal_20240326_01_0036_.jpg
