,img_filename,product_type,image_reflection,image_clarity,prediction_confidence
0,IMG_6474_jpeg.rf.3a2c41b5305c511fa5c5aa5a77cbac18.jpg,OtherSauceDressingSoupbasePaste,Medium,High,High
1,IMG_6469_jpeg.rf.18d02f7ad78e8dae41b0d1944d83947a.jpg,OtherSauceDressingSoupbasePaste,Low,High,High
2,IMG_6458_jpeg.rf.79bc128665f129f09f23c55eb459510a.jpg,HoneyOtherSpreads,Low,High,High
3,IMG_6467_jpeg.rf.a9a065c736e3459315165ff3b05a9a70.jpg,HoneyOtherSpreads,Low,High,High
4,IMG_6476_jpeg.rf.523ba8907ec5058af0e3c3cf5df0d926.jpg,OtherSauceDressingSoupbasePaste,Medium,High,High
5,IMG_6459_jpeg.rf.e2bdb5ea8c09eb9a92d488f4ff17c103.jpg,HoneyOtherSpreads,Low,High,High
6,IMG_6475_jpeg.rf.eaa31bb842a8daa981f0ab1d82ffa62d.jpg,HoneyOtherSpreads,Low,Medium,Medium
7,IMG_6461_jpeg.rf.f0150fe3f237233cdbcf34b8bbff3699.jpg,Coffee,Medium,High,High
8,IMG_6473_jpeg.rf.bf00488a7a2661158ac7772507679816.jpg,HoneyOtherSpreads,Medium,High,High
9,IMG_6460_jpeg.rf.81fecbe9388bdf692fe6a5c521df9696.jpg,HoneyOtherSpreads,Low,High,High
10,IMG_6470_jpeg.rf.b140a5a585d05966e82ca06e88dbf348.jpg,OtherSauceDressingSoupbasePaste,Low,High,High
11,IMG_6462_jpeg.rf.f06f9e6df83c16765df95a973541a6b4.jpg,HoneyOtherSpreads,Low,High,High
12,IMG_0716_jpeg.rf.1870e0838d4ce3b64535fb9e2fa45ca5.jpg,InstantNoodles,Low,High,Medium
13,IMG_0710_jpeg.rf.ec82277b2ff8acdc4431199f46077744.jpg,InstantNoodles,Low,High,High
14,IMG_0723_jpeg.rf.03692616665bb70f8741d39d5b866417.jpg,OtherNoodles,Low,High,High
15,IMG_0713_jpeg.rf.7468069e7dba038ad2cdb8ed634876c8.jpg,OtherNoodles,Low,High,High
16,IMG_0717_jpeg.rf.dd35284db73e8403eb036d355d53ff16.jpg,Tea powder leaves,Low,High,Medium
17,IMG_0719_jpeg.rf.971a255e0363d3d5096648f15bce272e.jpg,OtherNoodles,Low,High,High
18,IMG_0708_jpeg.rf.b5aa247c697dbd24ea96926f883941bd.jpg,InstantNoodles,Low,High,High
19,IMG_0726_jpeg.rf.be398d858dc6b946c277cdd3032ef235.jpg,OtherNoodles,Medium,Medium,Medium
20,IMG_0712_jpeg.rf.aa29dc346bc888772d09f7d639000aaa.jpg,OtherNoodles,Low,High,High
21,IMG_0711_jpeg.rf.6e0d2dfd6d04005028a74f3980816364.jpg,InstantNoodles,Low,High,High
22,IMG_0718_jpeg.rf.32e09bcaf5ad417c75ac2b6ea6e662d7.jpg,OtherNoodles,Low,High,High
23,IMG_0727_jpeg.rf.dc4b99a04a5fdc4ffd6ca4c3e45c5300.jpg,OtherNoodles,Medium,High,High
24,IMG_0725_jpeg.rf.2fba6429a4cb639514682a9780e1724b.jpg,OtherNoodles,Low,High,Medium
25,IMG_0709_jpeg.rf.a0910ec515fad378a5d4658a6b0c05cd.jpg,InstantNoodles,Low,High,High
26,IMG_0724_jpeg.rf.b3ff38d67147f91b94f0818dd6c67659.jpg,OtherNoodles,Low,High,High
27,IMG_0721_jpeg.rf.e39b485d0c34ca440d69c0c1172ea041.jpg,OtherNoodles,Low,High,High
28,IMG_0706_JPG.rf.3b079a12c055b60fdfa76b4a6445d4c9.jpg,OtherNoodles,Medium,High,High
29,IMG_0705_JPG.rf.82473b9efa5dd34b93ff7de672e13025.jpg,InstantNoodles,Low,High,High
30,IMG_0714_jpeg.rf.e7892a86bace788c84707463409113eb.jpg,OtherNoodles,Low,High,High
31,IMG_0715_jpeg.rf.cb115a12da71fb9f90ee9ff115af335c.jpg,TeaPowderLeaves,Low,High,High
32,IMG_0722_jpeg.rf.d225be9cf3e9a21b88a9111c79c48587.jpg,SweetsChocolatesOthers,Low,Medium,Medium
33,IMG_0720_jpeg.rf.4c23ed471ea29b743f143f88d0f7f14e.jpg,OtherNoodles,Low,High,High
34,IMG_0910_jpeg.rf.00f70e48d7db1907df5a599397110b13.jpg,OtherNoodles,Low,High,High
35,IMG_0908_jpeg.rf.731ca6963977fe0a8a47ec1c2ca0cbc0.jpg,TeaPowderLeaves,Medium,High,Medium
36,IMG_0911_jpeg.rf.3523410e4d12bb7686eb82ea6765896e.jpg,OtherNoodles,Medium,High,High
37,IMG_0905_jpeg.rf.b2ae1483882c9455f45686447af57c58.jpg,OtherNoodles,Low,High,High
