,filepath,label,ProductType_AdultMilk,ProductType_BabyMilkPowder,ProductType_Babyfood,ProductType_BeehoonVermicelliMeesua,ProductType_BiscuitsCrackersCookies,ProductType_Book,ProductType_BreakfastCerealsCornflakes,ProductType_CannedPacketCreamersSweet,ProductType_CerealBeveragePowder,ProductType_ChilliSauce,ProductType_Coffee,ProductType_CornChip,ProductType_FlavoredMilk,ProductType_Flour,ProductType_FruitJuice,ProductType_HoneyOtherSpreads,ProductType_InstantMeals,ProductType_InstantNoodles,ProductType_Kaya,ProductType_MaternalMilkPowder,ProductType_MiloPowder,ProductType_NutellaChocolate,ProductType_Nuts,ProductType_Oil,ProductType_OtherBakingNeeds,ProductType_OtherDriedFood,ProductType_OtherNoodles,ProductType_OtherSauceDressingSoupbasePaste,ProductType_Pasta,ProductType_Peanutbutter,ProductType_PotatoSticks,ProductType_PotatochipsKeropok,ProductType_RiceBrownOthers,ProductType_RolledOatsInstantOatmeal,ProductType_Salt,ProductType_Sardines,ProductType_SoftDrinks,ProductType_Sugar,ProductType_SweetsChocolatesOthers,ProductType_TeaPowderLeaves,ProductType_WetWiper,Weight_1-99g,Weight_100-199g,Weight_1000-1999g,Weight_200-299g,Weight_300-399g,Weight_3000-3999g,Weight_400-499g,Weight_500-599g,Weight_600-699g,Weight_700-799g,Weight_800-899g,Weight_900-999g,HalalStatus_Halal,HalalStatus_NonHalal,HealthStatus_Healthy,HealthStatus_NonHealthy,img_type
0,IMG_3342_jpeg.rf.66db10f7864d752fb7976d5e2a0d2a30.jpg,Nuts_1-99g_Halal_NonHealthy,-2.081311,-2.9020169,-1.0829166,-1.9172682,0.51313835,-2.0560749,-3.1035748,-4.815222,-2.1790307,-3.4703248,-2.7166977,-4.649649,-2.7219489,-4.6231804,-4.842063,-1.9240606,-3.2567687,-2.8759422,-2.0913665,-3.4099667,-4.0327706,-4.657663,8.167009,-3.586374,-2.4611287,-4.2327466,-2.047648,-1.3860552,-1.99285,-3.4345531,-2.6204891,3.1770544,-3.021103,-2.39449,-3.02914,-3.4598856,-3.6397178,-3.508838,-1.0767912,-0.9986055,-4.67641,6.9451003,0.19836567,-4.237113,-1.3890945,1.3288201,-3.5536392,-1.5198787,-2.695246,-2.423932,-3.5898392,-3.0661733,-3.762192,2.3675318,-3.054208,-3.2486644,3.1182306,existing
1,IMG_6525_jpeg.rf.4819ad251c1c4c1e1271728375ee7072.jpg,HoneyOtherSpreads_100-199g_Halal_NonHealthy,-3.5286787,-2.2207763,-1.3721033,-3.5279145,-0.8063743,-5.616762,-2.9087322,-3.5353262,-4.176905,-0.12758927,0.93555444,-4.9523783,-2.0909963,-5.624692,-5.4129276,6.479201,0.047015384,-2.1760142,-0.042923808,-4.470601,-3.3374178,-1.728115,-0.172204,-3.3556063,-3.223367,-3.9918926,-4.0264015,-1.5967457,-4.529875,-1.254033,-3.8596153,-3.2984273,-3.0900424,-3.5398033,-3.512688,-1.1102558,-5.242978,-4.4580507,-2.8694832,0.27129656,-4.8063707,-0.5988806,8.047324,-4.0157676,-1.9365275,-0.69984645,-6.7458262,1.6011761,-1.9523393,-4.151642,-2.8631468,-3.8516839,-4.587035,2.521691,-3.1216772,-3.2475147,2.68848,existing
2,IMG_6549_jpeg.rf.99b9ea7d28228f9e89972b745ddde651.jpg,HoneyOtherSpreads_400-499g_Halal_NonHealthy,-3.4424613,-1.9558258,-3.9177608,-3.072334,-1.0133753,-5.2795005,-2.0939236,-1.9887897,-5.5372705,-0.15601227,-1.3053569,-4.9441023,-3.3060062,-5.8161163,-5.344859,5.052163,-0.91735023,-0.4306736,0.60685366,-3.4635315,-2.7283733,-2.5632184,-3.1258726,-1.7193978,-2.342367,-5.4420824,-2.6945622,-2.9575837,-2.784507,-0.68336636,-3.2981672,-3.8781993,-3.0504053,-3.4723997,-3.7738793,-0.594622,-6.2772202,-3.7071397,-3.0622234,-0.56586397,-4.456299,-0.7319008,2.898217,-3.4090643,-3.1160574,-1.2386042,-6.733896,7.2862616,-1.4526951,-3.7654915,-3.505961,-3.42628,-3.930771,2.6496933,-3.1323686,-4.6367364,4.17741,existing
3,IMG_6835_jpeg.rf.2c219ac88826ee3c0452fff0f1964cc1.jpg,Babyfood_1-99g_Halal_NonHealthy,-0.81491524,-0.09379932,6.6785088,-1.3921944,-1.3178893,-4.297375,-3.702756,-2.697277,-2.016914,-2.274363,-2.0772777,-4.2664905,-1.9902623,-4.844775,-4.3536716,-1.7237424,-2.7509747,-3.2241285,-0.5484716,-0.35907865,-4.5001197,-4.131358,-1.9016796,-2.7149475,-2.336126,-5.2176104,-3.8616235,-1.458423,-3.5800765,-3.3129957,-1.7729262,0.90258014,-1.6839169,-4.3096876,-3.364603,-1.0124385,-4.4708576,-4.7357397,-1.9978362,-1.1738795,-5.250152,6.3524694,-0.7127565,-4.3455205,-0.85813206,0.101026304,-6.0665145,-0.7943992,-2.3591645,-1.8098657,-2.4722335,-2.8958046,-3.4579673,3.9392178,-4.6443057,-4.4652987,3.6865654,existing
4,Crackers_200-299g_0311_NonHalal_6_png.rf.d36bf187d7672ed9b6fcfdd42031fef3.jpg,BiscuitsCrackersCookies_200-299g_NonHalal_NonHealthy,-2.9575498,-1.6598688,-1.3402065,-0.7630837,8.276548,-4.0576334,-4.4515033,-3.0055876,-2.935658,-2.3852928,-1.4061276,-2.2579136,-4.068329,-3.0753741,-2.5004406,-2.8481388,-3.2894912,-1.9307307,-2.9834657,-1.4721166,-4.077022,-2.5090702,-2.5724409,-3.3709373,-2.6357806,-3.474464,-0.4313332,0.14170171,-0.5593382,-1.9192967,-2.885089,-2.199695,-3.065887,-2.4386036,-2.0667243,-1.4070411,-2.8450117,-2.7519352,-0.6843057,-2.553393,-2.6759624,-1.2108767,-2.3073587,-3.21484,7.227288,-0.16855644,-3.5304527,-1.9785224,0.37835237,-1.9092159,-2.989162,-1.0079478,-3.7472277,-2.8653007,2.1064525,-3.7840133,3.310216,existing
5,IMG_3523_jpeg.rf.855d817728b2c318fcd21ac82b15133a.jpg,Nuts_100-199g_NonHalal_NonHealthy,-3.8931255,-4.6368475,-2.9102354,-0.99989235,-0.39212856,-2.0291355,-3.7409503,-5.2420464,-2.8366988,-4.052727,-3.2787662,-4.0893693,-4.0376906,-2.4835975,-5.564202,-2.7060852,-1.9959884,-1.9980937,-2.823763,-4.3143153,-3.3282635,-3.107128,9.610985,-4.5385275,-1.1691134,-2.1728847,-1.2491928,-1.6316402,-1.5518882,-3.4122014,-4.6133966,1.3631419,-3.553596,-4.088081,-3.4015794,-2.4395287,-5.165447,-2.313843,0.5746555,-1.3947138,-3.0262015,1.1988299,6.877001,-2.8475509,-2.6425598,-0.41682035,-2.4646533,-1.5590985,-2.4872787,-3.3151696,-4.5087705,-3.3885674,-4.038296,-3.536689,3.4715173,-4.256959,3.903719,existing
6,IMG_0795_jpeg.rf.e87d098b1f03497def2895390b578620.jpg,InstantMeals_100-199g_Halal_NonHealthy,-2.8261137,-1.6256901,-0.65380067,-0.8091048,-0.3403606,-5.3798847,-2.9806721,-3.548288,-4.7295833,-2.9445763,-2.2356813,-5.7548165,-2.3464549,-3.2770376,-4.437614,-2.6431549,6.038678,5.0882783,-3.5185397,-3.404718,-4.209327,-5.402765,-1.1471697,-3.302987,-4.414221,-2.5729032,-0.6283347,-3.5593698,-2.0598924,-4.154088,-5.294218,-4.2035165,-4.948811,-3.7564626,-4.500989,-1.2831011,-4.8069186,-2.666561,-2.8696022,-0.10538487,-4.020976,-4.6808667,11.352359,-3.355225,-0.3478248,-2.8509424,-4.9074793,-0.42786425,-3.146454,-2.6492536,-2.6116674,-1.8783674,-2.934365,3.0165799,-3.351061,-3.851839,3.9373276,existing
7,IMG_0908_jpeg.rf.731ca6963977fe0a8a47ec1c2ca0cbc0.jpg,OtherNoodles_600-699g_NonHalal_NonHealthy,-2.515092,-1.6701016,-4.9326844,-2.441784,-1.7485329,-4.201959,-3.107241,-4.807744,-2.407234,-5.4584274,-3.367482,-6.7671804,-5.699606,-3.279762,-4.576388,-5.59403,-4.03646,-2.3027422,-5.702913,1.660565,-2.787379,-4.2827516,-3.0077865,-3.3568637,-0.8457821,-5.48334,11.459059,-1.8268043,2.6858149,-3.8747206,-6.268902,-0.55155516,-5.0006967,-3.380243,-4.3703012,-6.136336,-5.034059,-4.4784784,-2.5647743,-2.762132,-6.459555,-1.9417039,-4.1551204,-2.7220416,2.5731368,-0.7905316,-5.2345896,-0.97413445,-2.1720994,6.386214,-1.72716,-2.5926483,-3.0791204,-3.0161614,2.657294,-3.8525312,3.6317456,existing
8,WIN_20231207_11_29_44_Pro.jpg,SweetsChocolatesOthers_100-199g_NonHalal_NonHealthy,-3.4293067,-3.724567,-0.2651628,-1.1577197,-0.7545019,-3.579596,-5.6490645,-4.9060616,-3.0079007,-3.887818,-2.0023875,-2.4322248,-3.1972635,-2.9552054,-3.1661963,-3.3251262,-2.1143055,-2.3486373,-1.9152076,-2.4730003,-2.9402225,-3.841506,-0.17968605,-5.692494,-1.6194332,-0.044115007,-1.1393951,-2.8010437,-1.1268041,-3.5036197,-3.8572507,-1.2494246,-1.5586295,-3.3738744,-2.8712795,-2.928186,-3.886041,-2.0424066,9.943241,-1.3045932,-1.7065247,1.3613111,5.2575645,-3.0274951,0.28554156,-3.2629802,-3.296516,-2.6257305,-0.9407137,-3.2792773,-1.6718148,-3.1192706,-2.8797617,-3.8654644,4.341314,-3.9824219,4.0078206,existing
9,IMG_2330_JPG.rf.2562c0290fe3830898217333df4bbb36.jpg,BeehoonVermicelliMeesua_400-499g_NonHalal_NonHealthy,-3.9910898,-3.2285411,-4.4625998,7.7408767,-2.773773,-3.870569,-1.4071271,-2.9775527,-5.4708757,-3.5673563,-4.3346286,-3.5507734,-4.8413076,-1.498302,-6.1068783,-3.1347039,-1.86789,0.40091574,-2.7940974,-3.1767116,-1.6180475,-3.1649578,-2.8004932,-3.2215574,-1.3641583,-3.898633,-0.225334,-3.8388076,0.72809803,-2.9833071,-4.6977267,-2.1765141,-3.7746902,-4.796921,-2.4587116,-2.939866,-6.404215,-2.0451362,-1.5523753,-2.3551264,-2.857005,-1.8674518,-0.44970247,-1.8113252,-1.1799448,-2.4172745,-3.3916645,6.1995945,-2.0655735,-4.052462,-4.2166014,-0.48826867,-3.827315,-4.360312,3.999426,-4.405916,3.7764473,existing
