filepath,label,ProductType,Weight,HalalStatus,HealthStatus,new_camera,tag,group
IMG_20230428_123528_jpg.rf.5687b7b914f6d9aa98cadf060d1e3b00.jpg,Sugar_400-499g_NonHalal_NonHealthy,Sugar,400-499g,NonHalal,NonHealthy,0,NA,1
IMG_20230428_123522_jpg.rf.204ff37f497f2dce442c7cc3d291ef78.jpg,Sugar_400-499g_NonHalal_NonHealthy,Sugar,400-499g,NonHalal,NonHealthy,0,NA,1
IMG_20230428_123708_jpg.rf.141ecd0cefaea75c0b7a5f281475dd6b.jpg,Sugar_400-499g_NonHalal_NonHealthy,Sugar,400-499g,NonHalal,NonHealthy,0,NA,2
IMG_20230428_123521_jpg.rf.1069b402272252862ec686589ee0dc3c.jpg,Sugar_400-499g_NonHalal_NonHealthy,Sugar,400-499g,NonHalal,NonHealthy,0,NA,1
IMG_20230428_123659_jpg.rf.5e1b6c4caabe48cf36003cb4184ff380.jpg,Sugar_400-499g_NonHalal_NonHealthy,Sugar,400-499g,NonHalal,NonHealthy,0,NA,2
IMG_20230428_123520_jpg.rf.57a9c7c075e605c7c691efb1dcf227d8.jpg,Sugar_400-499g_NonHalal_NonHealthy,Sugar,400-499g,NonHalal,NonHealthy,0,NA,1
IMG_20230428_123527_jpg.rf.8dd407b0ee5203fd4a46ddf1e061a37f.jpg,Sugar_400-499g_NonHalal_NonHealthy,Sugar,400-499g,NonHalal,NonHealthy,0,NA,1
IMG_20230428_123529_jpg.rf.c757a35ff8715805953ae034409a23cd.jpg,Sugar_400-499g_NonHalal_NonHealthy,Sugar,400-499g,NonHalal,NonHealthy,0,NA,1
IMG_20230428_123704_jpg.rf.5fc2415d06061ea102ef125a37bbc88c.jpg,Sugar_400-499g_NonHalal_NonHealthy,Sugar,400-499g,NonHalal,NonHealthy,0,NA,2
IMG_20230428_123703_jpg.rf.6a9c54175f59238cdc83999cdee6dad4.jpg,Sugar_400-499g_NonHalal_NonHealthy,Sugar,400-499g,NonHalal,NonHealthy,0,NA,2
IMG_9845_JPG.rf.79179e2933d602f5396a50d0a96ea77b.jpg,OtherNoodles_700-799g_Halal_NonHealthy,OtherNoodles,700-799g,Halal,NonHealthy,0,NA,1
IMG_9847_JPG.rf.9b1f1f5aef44a1c04751b432886e363e.jpg,OtherNoodles_700-799g_Halal_NonHealthy,OtherNoodles,700-799g,Halal,NonHealthy,0,NA,1
IMG_9843_JPG.rf.06efa72d980beea92d81c2c2bb431b01.jpg,OtherNoodles_700-799g_Halal_NonHealthy,OtherNoodles,700-799g,Halal,NonHealthy,0,NA,1
IMG_9850_JPG.rf.a656c02511bfa87362592d2143f2d886.jpg,OtherNoodles_700-799g_Halal_NonHealthy,OtherNoodles,700-799g,Halal,NonHealthy,0,NA,1
IMG_9841_JPG.rf.28ef5b4cff189e03a7ad931905e56f7e.jpg,OtherNoodles_700-799g_Halal_NonHealthy,OtherNoodles,700-799g,Halal,NonHealthy,0,NA,1
IMG_9849_JPG.rf.9bd576b3de05d91a4a8c73290848470d.jpg,OtherNoodles_700-799g_Halal_NonHealthy,OtherNoodles,700-799g,Halal,NonHealthy,0,NA,1
IMG_9842_JPG.rf.a3f3c34f9b3efe81ce6af2079b346bbd.jpg,OtherNoodles_700-799g_Halal_NonHealthy,OtherNoodles,700-799g,Halal,NonHealthy,0,NA,1
IMG_9844_JPG.rf.cafa972310eb5e4d4175bd7757db0c40.jpg,OtherNoodles_700-799g_Halal_NonHealthy,OtherNoodles,700-799g,Halal,NonHealthy,0,NA,1
IMG_9846_JPG.rf.94ff895c1b40623b89d9d089fd37f3bd.jpg,OtherNoodles_700-799g_Halal_NonHealthy,OtherNoodles,700-799g,Halal,NonHealthy,0,NA,1
IMG_9848_JPG.rf.f9e97063d03e41b6848d8f2da0c5afbe.jpg,OtherNoodles_700-799g_Halal_NonHealthy,OtherNoodles,700-799g,Halal,NonHealthy,0,NA,1
