Filename,CorrectTotalLabel,ProductType_AdultMilk,ProductType_BabyMilkPowder,ProductType_Babyfood,ProductType_BeehoonVermicelliMeesua,ProductType_BiscuitsCrackersCookies,ProductType_Book,ProductType_BreakfastCerealsCornflakes,ProductType_CannedPacketCreamersSweet,ProductType_CerealBeveragePowder,ProductType_ChilliSauce,ProductType_Coffee,ProductType_CornChip,ProductType_FlavoredMilk,ProductType_Flour,ProductType_FruitJuice,ProductType_HoneyOtherSpreads,ProductType_InstantMeals,ProductType_InstantNoodles,ProductType_Kaya,ProductType_MaternalMilkPowder,ProductType_MiloPowder,ProductType_NutellaChocolate,ProductType_Nuts,ProductType_Oil,ProductType_OtherBakingNeeds,ProductType_OtherDriedFood,ProductType_OtherNoodles,ProductType_OtherSauceDressingSoupbasePaste,ProductType_Pasta,ProductType_Peanutbutter,ProductType_PotatoSticks,ProductType_PotatochipsKeropok,ProductType_RiceBrownOthers,ProductType_RolledOatsInstantOatmeal,ProductType_Salt,ProductType_Sardines,ProductType_SoftDrinks,ProductType_Sugar,ProductType_SweetsChocolatesOthers,ProductType_TeaPowderLeaves,ProductType_WetWiper,Weight_1-99g,Weight_100-199g,Weight_1000-1999g,Weight_200-299g,Weight_300-399g,Weight_3000-3999g,Weight_400-499g,Weight_500-599g,Weight_600-699g,Weight_700-799g,Weight_800-899g,Weight_900-999g,HalalStatus_Halal,HalalStatus_NonHalal,HealthStatus_Healthy,HealthStatus_NonHealthy
IMG_3533_jpeg.rf.7c479d2b82aa319692d4c74ba4acfa46.jpg,Nuts_300-399g_NonHalal_NonHealthy,-2.4932473,-2.4581099,-0.75264347,3.4182446,1.4106859,-1.4845028,-3.675712,-4.6960487,1.445052,-2.6405118,-0.10558534,-2.8960657,-3.5205717,-1.7760909,-3.8614485,-2.2436352,-1.7520478,-2.476023,-0.32993189,-1.8159472,-2.3864481,-0.79809755,4.0888786,-1.4408804,-1.8287607,-2.5031493,0.9070975,2.269957,-0.8352959,-2.3705807,-2.7047656,-1.3329098,-2.4055471,-2.0429692,-2.9907165,1.18123,-4.133028,-1.0051757,1.2751536,-2.1368861,-3.1560636,-0.10276508,3.1087084,-3.0041904,0.20534782,5.7604623,-4.2357926,1.2027357,-0.9297539,-2.064444,-3.176098,-1.9625883,-3.577293,-3.286956,2.2879062,-4.930899,2.9537544
IMG_2282_JPG.rf.55ff8559732da3aeccad420b17c3f974.jpg,BeehoonVermicelliMeesua_200-299g_Halal_NonHealthy,0.13187277,0.044445276,-0.5195479,7.0031686,-0.72955084,-3.2851968,-1.9498227,-2.6599355,-0.27814734,-0.19191946,-2.1655045,-3.7369742,-1.5233021,-2.7852838,-2.1930408,-1.0289373,-0.898553,-0.8846151,-1.8292657,-1.870955,-2.0733016,-2.1768394,0.26729435,-0.48284674,-1.2483015,-2.7916377,0.8741423,-0.26666808,0.93906945,-3.9712958,-2.1560407,-2.6816504,-1.6410667,-0.6511347,-2.7921968,-1.2637286,-2.7013545,-1.9761335,-1.1370395,-2.605923,-1.9589193,-0.9330077,-0.8365413,-3.315351,5.1609488,1.0207788,-3.487088,-0.3596576,0.07056522,-1.1637616,-2.505035,-1.9260981,-2.4063609,3.796422,-2.279831,-1.3719664,1.770485
IMG_20230428_123200_jpg.rf.34cc17cc4cb5a707327ef2280d485872.jpg,Sugar_800-899g_NonHalal_NonHealthy,-2.1536431,2.140464,-0.86195254,-2.4642637,0.67560285,-1.9845052,-1.6618646,-4.919771,-1.5335155,-3.7037902,-2.4075599,-2.0270069,-1.3030316,-1.6608915,-2.8630724,-0.6945377,-1.3294543,-1.231806,-0.72164804,0.27997005,-2.946538,-1.7806945,-1.1574818,-2.5418406,0.047751784,-2.7801461,-2.7109938,-0.7161249,-1.3786031,0.32318047,-4.0521607,-2.358506,-5.249074,0.66255915,-3.1197138,-0.8905755,-4.0424337,9.722761,-0.27635837,-0.85873383,-2.8870735,-0.31501257,-1.2009209,-0.6175794,-1.0135992,-0.601583,1.4954858,1.0701482,-1.7851386,-3.4937088,-2.7369182,6.7942104,-0.91714066,-3.6832688,4.121268,-4.709025,1.8658329
Crackers_200-299g_0311_Halal_25_png.rf.c55545c9864dd9cd08f61649b49bc18d.jpg,BiscuitsCrackersCookies_200-299g_Halal_NonHealthy,-1.2303292,-2.5235355,0.55712885,-2.7498045,8.67153,-4.183312,-3.959238,-3.2337437,-2.2373083,-2.5717108,-0.9180938,-3.387301,-2.4214747,-1.9118125,-2.962481,-3.0063748,-0.49000716,-2.1761527,-1.6849401,-1.3681148,-2.661043,-4.128544,-0.61621976,-2.8558016,-2.9057634,-3.115181,-2.433864,-1.7521794,-1.9987762,-1.9454634,-3.62959,-1.3735161,-3.867587,-0.38817504,-3.0215297,-0.89278054,-3.250202,-2.882566,0.96600276,-1.817652,-4.3083086,-0.374211,0.17760268,-1.9142363,7.4629927,-1.3119102,-2.0804753,0.55024755,-2.7015355,-0.06212108,-1.7600226,-0.4672732,-4.762103,3.1892443,-1.6630408,-4.48652,1.1619672
IMG_6362_jpeg.rf.16a8b744b3be105dc728d6b6bfefc93f.jpg,OtherBakingNeeds_900-999g_Halal_NonHealthy,-0.17288387,1.5899885,-0.6645445,-1.9973445,-0.70763665,-3.679213,-1.1142954,-2.1448603,0.77318907,-2.633424,-4.8393455,-3.0579824,-3.3749528,1.7987423,-4.1321645,-1.7204187,-1.7772453,0.41409627,-1.9967691,-1.686985,-5.9367995,-2.7678545,-2.1582139,-0.6500438,9.330732,-4.305368,-1.2088114,-1.3878882,-0.8999527,-2.834551,-2.4703858,-4.542674,-3.6760106,2.4384122,-4.401374,-2.2888408,-3.8382077,-0.04910302,-2.8400445,-4.46259,-2.512719,-1.2851797,-2.3538876,1.1088468,-1.4358835,-2.1815157,-3.4014804,-1.347105,-3.2946887,-0.024379432,-3.188744,1.0414236,6.5735784,2.0146258,-1.7635468,-4.737069,4.5619383
IMG_6520_jpeg.rf.e48e65fd050e06aa56aea7c5c603b028.jpg,HoneyOtherSpreads_100-199g_NonHalal_NonHealthy,-1.793613,-0.91066754,0.37879643,1.8410163,-0.75399023,-1.1961316,-2.5858583,-3.0973625,-1.6948069,-1.4470022,-0.35282654,-1.7542081,-1.2967793,-1.2478464,-2.076661,5.2028213,-1.0281945,0.06319022,-1.2833776,-0.44183385,-2.2239146,-2.159399,-0.39425617,-1.7314473,-1.6493065,-2.3883557,-0.19889343,0.58405435,0.8010709,-0.23821184,-2.157207,-0.9121418,-1.9408842,-1.9832366,-1.4871241,-1.4315796,-2.2418566,-0.0028568506,-0.58595103,-0.78655386,-0.2892729,0.6054864,4.50167,-0.8234163,-1.0587626,0.53762335,-3.3213096,1.1720284,-0.5696571,-1.7791605,-3.209907,-1.1252769,-2.3931684,-3.052872,2.4006712,-2.9651825,1.1677247
IMG_6893_jpeg.rf.d6fe913883f8710379f91e4edbdd3bb0.jpg,OtherBakingNeeds_400-499g_NonHalal_NonHealthy,-0.6840855,2.0207615,-1.0595727,-1.202683,-1.1439271,-0.61929935,-2.2151906,-5.3555145,-5.3399963,-2.3255513,-1.7835052,-3.5346437,-2.9928246,-1.3694662,-3.1435757,1.3679086,-0.7409829,-0.46364653,-0.7174643,-0.6337998,-5.2892647,0.092374355,-0.8668083,-2.9355228,8.150798,-3.1199582,-0.4185114,-0.03305021,0.5060859,0.7651205,-4.895682,0.16988039,-2.2645113,-4.9847126,-1.4080267,-2.162895,-2.5742512,-0.44171792,-0.98334795,-1.9909091,-3.696713,-2.6687422,-3.9518342,-1.8361926,-1.6913257,0.6677164,-2.9229026,6.1067467,-0.99639285,-2.4845548,-1.0654415,-2.1293423,-3.5312138,-4.807559,3.5494149,-4.7956386,3.3523316
IMG_0405_jpeg.rf.a54c6e2be98174ddf6d1180fc54789a3.jpg,Babyfood_100-199g_Halal_NonHealthy,-1.0808095,-0.5507587,8.019275,-0.98594975,0.736707,-4.3409014,-3.008409,-2.9889712,-2.2841341,-2.922488,-2.117926,-3.8449116,-1.7012913,-2.211354,-1.3758174,-1.2305524,-2.5255957,-0.43346095,-0.81468606,0.492709,-3.6989682,-2.4885123,-2.0243776,-1.8001137,-0.44517338,-1.8537245,0.13412952,0.3874721,-2.0011222,-1.184952,-3.4435234,-0.32686645,-3.1736302,-0.97663903,-0.27491722,0.15717116,-3.2544975,0.23741889,-1.9360107,-2.695207,-3.8353999,0.6710923,6.733165,-3.7159731,-0.036455333,-0.37098026,-2.5582614,-0.6423686,-1.672347,-1.0425624,0.56418973,-1.3462746,-2.1866972,2.2478845,-2.6098402,-4.9806995,2.0383234
IMG_5360_jpeg.rf.0527b201eeabf60f3a02aa49d88687e8.jpg,ChilliSauce_300-399g_Halal_NonHealthy,0.98490614,-1.0867093,-0.11203259,-2.074871,2.4943886,-2.5604641,-3.6809058,-0.7864583,-2.986124,9.426125,-1.4448946,-1.3613365,-3.422587,-4.3797097,-4.517909,1.8984061,-3.0265641,-4.972132,-0.11459267,-3.9460328,-6.2772565,-1.6461124,-3.8517177,2.186945,-1.3663719,-5.6484194,1.7408477,0.032747924,-1.7570155,-1.9917805,-3.3183885,-3.2133088,-4.2153745,-3.744647,-1.087386,-2.087679,-6.129546,-3.6754794,-2.2262843,-1.3343457,-2.1494596,-1.0650983,1.473755,-3.2839673,-0.62660974,6.45357,-6.804213,1.1380172,-3.107687,1.6394677,0.28687394,-1.0484991,-3.274311,2.0993743,-2.5959861,-6.9568806,4.816674
5191704785428_.pic.jpg,AdultMilk_1-99g_Halal_NonHealthy,7.467985,-0.45590276,-1.1652361,-0.8010686,-1.3083814,-3.2372408,-4.2730618,-2.6243389,-1.5097606,-0.50300384,-1.9327137,-2.570137,-2.1774063,-3.8926206,-4.2327194,0.21244064,-3.783367,-1.7024554,-1.4900897,-1.5148679,-4.641949,-3.4248414,-1.3190856,-0.88083637,-2.0066352,-1.7899035,-1.3878138,0.94317776,-2.7083745,-1.3228133,-1.382482,-1.7978307,-1.5616916,-1.3476894,-1.287366,-3.2238097,-4.0540047,-3.5369225,-0.31351507,-1.7035578,-4.463629,7.270665,-1.1781878,-1.401351,-1.8348715,-1.0716155,-5.691158,-0.98948306,-1.5114775,-1.9019272,-1.9029365,-1.0820746,-1.4821241,2.499995,-3.3750377,-3.133447,1.9118017
